,date,open price,high price,low price,close price,AVG price,adjusted close price,volume,value fluctuation,rate fluctuation
1829,2015-08-12,9.2,9.8,9.2,9.4,9.46,4.11,655300,0.1,1.08
1830,2015-08-11,9.6,9.7,9.3,9.3,9.48,4.06,198500,-0.5,-5.1
1831,2015-08-10,9.6,9.9,9.6,9.8,9.78,4.28,255800,0.0,0.0
1832,2015-08-07,9.8,9.9,9.6,9.8,9.77,4.28,176200,-0.1,-1.01
1833,2015-08-06,9.8,10.2,9.6,9.9,9.86,4.33,693100,0.3,3.13
1834,2015-08-05,9.6,9.6,9.5,9.6,9.6,4.19,81100,0.1,1.05
1835,2015-08-04,9.4,9.5,9.3,9.5,9.43,4.15,45400,0.2,2.15
1836,2015-08-03,9.3,9.3,9.2,9.3,9.27,4.06,52000,-0.1,-1.06
1837,2015-07-31,9.4,9.5,9.4,9.4,9.49,4.11,55500,-0.1,-1.05
1838,2015-07-30,9.2,9.5,9.2,9.5,9.36,4.15,52600,0.2,2.15
1839,2015-07-29,9.4,9.4,9.1,9.3,9.32,4.06,128200,-0.1,-1.06
1840,2015-07-28,9.4,9.4,9.3,9.4,9.38,4.11,154400,-0.1,-1.05
1841,2015-07-27,9.2,9.5,9.2,9.5,9.4,4.15,103000,0.0,0.0
1842,2015-07-24,9.1,9.5,9.1,9.5,9.38,4.15,105900,0.0,0.0
1843,2015-07-23,9.8,9.9,9.4,9.5,9.64,4.15,177100,-0.2,-2.06
1844,2015-07-22,10.0,10.0,9.5,9.7,9.71,4.24,599500,-0.2,-2.02
1845,2015-07-21,9.8,10.2,9.7,9.9,9.93,4.33,379910,0.5,5.32
1846,2015-07-20,9.0,9.4,8.9,9.4,9.22,4.11,491220,0.8,9.3
1847,2015-07-17,8.7,8.9,8.6,8.6,8.72,3.76,175900,-0.1,-1.15
1848,2015-07-16,8.0,9.0,8.0,8.7,8.44,3.8,267200,0.4,4.82
1849,2015-07-15,8.5,8.6,8.3,8.3,8.38,3.63,126600,-0.3,-3.49
1850,2015-07-14,8.8,8.8,8.0,8.6,8.21,3.76,588200,-0.2,-2.27
1851,2015-07-13,9.6,9.7,8.8,8.8,9.39,3.84,429500,-0.9,-9.28
1852,2015-07-10,9.4,10.4,9.4,9.7,10.0,4.24,314700,-0.6,-5.83
1853,2015-07-09,10.8,10.8,10.2,10.3,10.56,4.5,251200,-0.5,-4.63
1854,2015-07-08,11.1,11.2,10.8,10.8,11.05,4.72,152800,-0.3,-2.7
1855,2015-07-07,11.2,11.3,10.9,11.1,11.1,4.85,188100,0.0,0.0
1856,2015-07-06,11.1,11.5,11.0,11.1,11.18,4.85,132300,0.0,0.0
1857,2015-07-03,11.5,11.5,11.1,11.1,11.34,4.85,92454,-0.2,-1.77
1858,2015-07-02,10.0,11.6,10.0,11.3,11.18,4.94,156400,0.4,3.67
1859,2015-07-01,11.2,11.3,10.9,10.9,11.06,4.76,145300,-0.4,-3.54
1860,2015-06-30,11.3,11.4,11.1,11.3,11.27,4.94,269800,0.0,0.0
1861,2015-06-29,11.5,11.5,11.1,11.3,11.37,4.94,205400,-0.3,-2.59
1862,2015-06-26,11.5,11.7,11.5,11.6,11.6,5.07,370800,0.0,0.0
1863,2015-06-25,11.6,11.8,11.4,11.6,11.57,5.07,222100,0.1,0.87
1864,2015-06-24,11.7,11.9,11.4,11.5,11.6,5.02,290700,-0.3,-2.54
1865,2015-06-23,11.3,12.0,11.3,11.8,11.67,5.16,247900,0.3,2.61
1866,2015-06-22,12.1,12.3,11.4,11.5,11.7,5.02,711500,-0.6,-4.96
1867,2015-06-19,12.4,12.6,11.7,12.1,12.12,5.29,691500,-0.2,-1.63
1868,2015-06-18,11.8,12.5,11.8,12.3,12.21,5.37,983430,0.5,4.24
1869,2015-06-17,12.4,12.4,11.8,11.8,11.91,5.16,557400,-0.6,-4.84
1870,2015-06-16,12.8,12.9,12.3,12.4,12.46,5.42,671700,-0.4,-3.13
1871,2015-06-15,13.5,13.5,12.8,12.8,12.85,5.59,1701140,-1.4,-9.86
1872,2015-06-12,14.3,14.3,12.9,14.2,13.22,6.2,2273300,-0.1,-0.7
1873,2015-06-11,13.5,14.3,13.0,14.3,13.61,6.25,1962960,0.8,5.93
1874,2015-06-10,14.3,14.4,13.0,13.5,13.35,5.9,1868800,-0.9,-6.25
1875,2015-06-09,15.1,15.2,13.9,14.4,14.61,6.29,1099400,-0.8,-5.26
1876,2015-06-08,15.5,15.5,14.9,15.2,15.18,6.64,701200,-0.2,-1.3
1877,2015-06-05,15.0,15.4,13.8,15.4,14.57,6.73,1016100,0.4,2.67
1878,2015-06-04,15.4,15.9,15.0,15.0,15.52,6.55,636400,-0.3,-1.96
1879,2015-06-03,16.9,16.9,15.3,15.3,16.38,6.68,675200,-1.7,-10.0
1880,2015-06-02,17.1,17.3,16.9,17.0,17.2,7.43,491100,-0.2,-1.16
1881,2015-06-01,16.8,17.5,16.3,17.2,16.91,7.51,375980,0.3,1.78
1882,2015-05-29,17.0,17.5,16.8,16.9,17.19,7.38,504600,0.0,0.0
1883,2015-05-28,15.4,16.9,15.4,16.9,16.5,7.38,520100,1.5,9.74
1884,2015-05-27,15.6,15.7,15.2,15.4,15.39,6.73,276534,-0.2,-1.28
1885,2015-05-26,15.8,15.9,15.4,15.6,15.61,6.82,324500,-0.2,-1.27
1886,2015-05-25,16.0,16.0,15.3,15.8,15.64,6.9,442200,-0.2,-1.25
1887,2015-05-22,15.9,16.0,15.5,16.0,15.72,6.99,392200,0.1,0.63
